lat,lon,number,alfa,zipcode,street
11.0457767843836,46.0779593473356,6,6,38123,Via della chiesa
11.0450446503326,46.0782502028898,7,7,38123,Via della chiesa
11.0458980897041,46.0780010412122,8,8,38123,Via della chiesa
11.0448939631149,46.0766272419264,1,1,38123,Via dei Casai
11.0443856626346,46.0769468682043,10,10,38123,Via dei Casai
11.0438584164674,46.0763712026605,11,11,38123,Via dei Casai
11.0436437127859,46.0764672137198,11,11,38123,Via dei Casai
11.0431884516143,46.0761978171546,15,15,38123,Via dei Casai
11.0431387929003,46.0762433324429,17,17,38123,Via dei Casai
11.0445636643938,46.0766772905621,18,18,38123,Via dei Casai
11.0431244481845,46.0761729449242,19,19,38123,Via dei Casai
11.0430553137788,46.0761324248403,19,19,38123,Via dei Casai
11.0430706083436,46.076175968447,19,19,38123,Via dei Casai
11.0448312633095,46.0767083779429,2,2,38123,Via dei Casai
11.0444285303372,46.0766244230327,20,20,38123,Via dei Casai
11.0428853850095,46.0761528299692,21,21,38123,Via dei Casai
11.0443995572282,46.0766623412769,22,22,38123,Via dei Casai
11.0429550108641,46.0761589845854,23,23,38123,Via dei Casai
11.0443274740224,46.076671761865,24,24,38123,Via dei Casai
11.0444147751553,46.0767580071456,28,28,38123,Via dei Casai
11.042754988411,46.0765899595554,29,29,38123,Via dei Casai
11.0424305419381,46.0768065149858,31,31,38123,Via dei Casai
11.0425096855947,46.076735178619,31,31,38123,Via dei Casai
11.0441479761573,46.0766196880184,32,32,38123,Via dei Casai
11.0424271467864,46.0766904171021,33,33,38123,Via dei Casai
11.0423686331,46.0767751005809,33,33,38123,Via dei Casai
11.0435167054395,46.076671635929,36,36,38123,Via dei Casai
11.0426200183667,46.076622632647,37,37,38123,Via dei Casai
11.042677426965,46.0765321719977,39,39,38123,Via dei Casai
11.0446627106777,46.0767399708394,4,4,38123,Via dei Casai
11.0431150449673,46.0768040290713,40,40,38123,Via dei Casai
11.0426266257099,46.0765442944937,41,41,38123,Via dei Casai
11.0431694660833,46.0768649277648,42,42,38123,Via dei Casai
11.0425767842094,46.0765274675754,43,43,38123,Via dei Casai
11.0422729410552,46.0765247704955,45,45,38123,Via dei Casai
11.0421767282863,46.0765134822211,47,47,38123,Via dei Casai
11.0431365724791,46.0765539020403,48,48,38123,Via dei Casai
11.0432195489707,46.0764704409631,48,48,38123,Via dei Casai
11.0431733303298,46.0765856312628,48,48,38123,Via dei Casai
11.042089915328,46.0765036518766,49,49,38123,Via dei Casai
11.04300096445,46.0764987420759,50,50,38123,Via dei Casai
11.0429598409944,46.0765872855341,52,52,38123,Via dei Casai
11.0428762629391,46.0766017890099,54,54,38123,Via dei Casai
11.0428532214767,46.0768203842558,58,58,38123,Via dei Casai
11.0446334875491,46.0767963700208,6,6,38123,Via dei Casai
11.0425863479337,46.0769386241677,60,60,38123,Via dei Casai
11.0426441214332,46.0769550574067,60,60,38123,Via dei Casai
11.0425549406397,46.0769680577313,60,60,38123,Via dei Casai
11.0424594424626,46.076975646369,62,62,38123,Via dei Casai
11.0424499003287,46.076906131352,62,62,38123,Via dei Casai
11.041706903827,46.0766080355655,64,64,38123,Via dei Casai
11.0417484257611,46.0765463306406,66,66,38123,Via dei Casai
11.0446034039632,46.0765513716166,7,7,38123,Via dei Casai
11.0445613514033,46.076867582422,8,8,38123,Via dei Casai
11.0443520821817,46.0765132471229,9,9,38123,Via dei Casai
11.0444408048402,46.0762163955964,9,9,38123,Via dei Casai
11.0310259358038,46.0735281639596,3,3,38123,Strada per Campavai
11.0311637134114,46.0749442054524,5,5,38123,Strada per Campavai
11.1178914939044,46.1276943992559,11,11,38121,Via di Camparta media
11.1192417633261,46.1290203982089,12,12,38121,Via di Camparta media
11.1178557790743,46.1277668081911,13,13,38121,Via di Camparta media
11.1178539566287,46.1277833551535,15,15,38121,Via di Camparta media
11.1191874663824,46.1307804390852,16,16,38121,Via di Camparta media
11.1178185582931,46.1278426615481,17,17,38121,Via di Camparta media
11.1191757437145,46.1308213656632,18,18,38121,Via di Camparta media
11.1177751724192,46.1279072407609,19,19,38121,Via di Camparta media
11.1173809591634,46.1277868435381,21,21,38121,Via di Camparta media
11.1224146714968,46.1331315338028,22,22,38121,Via di Camparta media
11.1224376208665,46.1331288177096,22,22,38121,Via di Camparta media
11.1174360459637,46.1275128414908,23,23,38121,Via di Camparta media
11.1172508176657,46.1275413919251,23,23,38121,Via di Camparta media
11.1172695624266,46.1276335803489,23,23,38121,Via di Camparta media
11.1214215881084,46.1344287324918,26,26,38121,Via di Camparta media
11.121429268848,46.13432952236,26,26,38121,Via di Camparta media
11.1172073140464,46.1274072788827,27,27,38121,Via di Camparta media
11.1172603836178,46.1272883775154,27,27,38121,Via di Camparta media
11.117356790481,46.1264884755862,3,3,38121,Via di Camparta media
11.1179419431114,46.1264994475555,3,3,38121,Via di Camparta media
11.1177091105782,46.1289793670025,33,33,38121,Via di Camparta media
11.117678685558,46.1290166036873,33,33/A,38121,Via di Camparta media
11.1176667839216,46.12902777848,33,33/B,38121,Via di Camparta media
11.1177367961248,46.1290493418033,35,35,38121,Via di Camparta media
11.117535486781,46.1269178804465,3,3/A,38121,Via di Camparta media
11.120094809746,46.1324795489583,45,45,38121,Via di Camparta media
11.1200552881793,46.1324763692981,45,45,38121,Via di Camparta media
11.1200165445886,46.1325423073865,45,45,38121,Via di Camparta media
11.1210359495998,46.1332916613259,49,49,38121,Via di Camparta media
11.1216503771841,46.1335638481932,51,51,38121,Via di Camparta media
11.1218158651521,46.1335754048505,51,51,38121,Via di Camparta media
11.1212930382414,46.1345525567846,55,55,38121,Via di Camparta media
11.1193289952781,46.1291481456865,6,6,38121,Via di Camparta media
11.1230065030124,46.1386285255716,61,61,38121,Via di Camparta media
11.1232629994275,46.1383707132434,65,65,38121,Via di Camparta media
11.1232431107212,46.1384022550624,65,65,38121,Via di Camparta media
11.1232392071279,46.1385291350656,67,67,38121,Via di Camparta media
11.1231001515806,46.1385054098057,69,69,38121,Via di Camparta media
11.1227865963941,46.1397021265497,71,71,38121,Via di Camparta media
11.1192899006654,46.1291591745406,8,8,38121,Via di Camparta media
11.1178956842004,46.1276755307218,9,9,38121,Via di Camparta media
11.1119472267079,46.1242695827969,1,1,38121,Strada del Dòs di Lamar
11.1116700416439,46.124272871153,1,1,38121,Strada del Dòs di Lamar
11.1094580192706,46.1240468352606,11,11,38121,Strada del Dòs di Lamar
11.1099881431824,46.1266814288144,22,22,38121,Strada del Dòs di Lamar
11.1099577734738,46.1265970501707,24,24,38121,Strada del Dòs di Lamar
11.1098963725566,46.1263221307092,26,26,38121,Strada del Dòs di Lamar
11.1097606421017,46.1260556619425,28,28,38121,Strada del Dòs di Lamar
11.1116637091813,46.1244535702154,3,3,38121,Strada del Dòs di Lamar
11.1116926349138,46.1244052021215,3,3,38121,Strada del Dòs di Lamar
11.1116338588564,46.1245724466228,3,3,38121,Strada del Dòs di Lamar
11.1097353775432,46.1262826337977,30,30,38121,Strada del Dòs di Lamar
11.1097615174391,46.1265228129881,32,32,38121,Strada del Dòs di Lamar
11.1097563874254,46.1266550357108,34,34,38121,Strada del Dòs di Lamar
11.1098381928488,46.1268422795471,36,36,38121,Strada del Dòs di Lamar
11.1093149016364,46.1262903969559,38,38,38121,Strada del Dòs di Lamar
11.1093513024932,46.1265327462375,38,38,38121,Strada del Dòs di Lamar
11.1094330112823,46.1256511702913,38,38,38121,Strada del Dòs di Lamar
11.1093535942123,46.1258753577595,38,38,38121,Strada del Dòs di Lamar
11.1101105369946,46.1242583782183,4,4,38121,Strada del Dòs di Lamar
11.1101444452196,46.1241469570143,4,4,38121,Strada del Dòs di Lamar
11.1091824037349,46.1254577694004,40,40,38121,Strada del Dòs di Lamar
11.1092280148535,46.1253712699407,40,40,38121,Strada del Dòs di Lamar
11.109207732491,46.1255517769124,40,40,38121,Strada del Dòs di Lamar
11.1091043349125,46.1252160945154,42,42,38121,Strada del Dòs di Lamar
11.1090595410988,46.1251816506308,44,44,38121,Strada del Dòs di Lamar
11.1090642353434,46.1251148015773,44,44,38121,Strada del Dòs di Lamar
11.1087177208662,46.125188664658,46,46,38121,Strada del Dòs di Lamar
11.1085260365313,46.1251108784587,46,46,38121,Strada del Dòs di Lamar
11.1080792775905,46.1251176887302,48,48,38121,Strada del Dòs di Lamar
11.1083202497298,46.1251776592747,48,48,38121,Strada del Dòs di Lamar
11.1081927546283,46.1253021996159,48,48,38121,Strada del Dòs di Lamar
11.1108920063703,46.1240246422492,5,5,38121,Strada del Dòs di Lamar
11.1109747239571,46.1238394702449,5,5,38121,Strada del Dòs di Lamar
11.111101309107,46.1243182762146,5,5,38121,Strada del Dòs di Lamar
11.1077244075197,46.1251823539989,50,50,38121,Strada del Dòs di Lamar
11.1078419647655,46.1251794087837,50,50/A,38121,Strada del Dòs di Lamar
11.1078261751825,46.1251362652336,50,50/B,38121,Strada del Dòs di Lamar
11.1100101237207,46.1240217331897,6,6,38121,Strada del Dòs di Lamar
11.1097421124274,46.1239528202499,7,7,38121,Strada del Dòs di Lamar
11.109765352991,46.1242787021979,8,8,38121,Strada del Dòs di Lamar
11.1096355120986,46.1242147863681,8,8,38121,Strada del Dòs di Lamar
11.1277480756581,46.1279173690617,10,10,38121,Via per Cortesano
11.1277965233092,46.1279316470716,10,10,38121,Via per Cortesano
11.128619319188,46.1282673109629,11,11,38121,Via per Cortesano
11.1284358650483,46.1282231565796,13,13,38121,Via per Cortesano
11.1276272529331,46.1274910347406,14,14,38121,Via per Cortesano
11.1276814280853,46.1275527202101,14,14,38121,Via per Cortesano
11.1276442499326,46.127404055805,14,14,38121,Via per Cortesano
11.1280989094114,46.1281019675683,15,15,38121,Via per Cortesano
11.1281344237479,46.1278824327299,17,17,38121,Via per Cortesano
11.1279392006473,46.1279430622671,17,17,38121,Via per Cortesano
11.1279120001668,46.1271790519171,19,19,38121,Via per Cortesano
11.1289616310649,46.1285537239827,2,2,38121,Via per Cortesano
11.1286800837314,46.1287103258966,2,2,38121,Via per Cortesano
11.1278565389977,46.1269510978939,21,21,38121,Via per Cortesano
11.1297617690617,46.1254200533132,22,22,38121,Via per Cortesano
11.1278476542206,46.1269224146257,23,23,38121,Via per Cortesano
11.1278384916786,46.126886524277,25,25,38121,Via per Cortesano
11.1298176759296,46.125701874871,26,26,38121,Via per Cortesano
11.1297317861813,46.1256167496013,26,26,38121,Via per Cortesano
11.1278360618999,46.1268234629336,27,27,38121,Via per Cortesano
11.1278287459684,46.1267273160434,29,29,38121,Via per Cortesano
11.1286876853171,46.125820656433,35,35,38121,Via per Cortesano
11.1287271439405,46.1259080553187,35,35,38121,Via per Cortesano
11.1288104107942,46.1258295450131,35,35,38121,Via per Cortesano
11.1284653829405,46.128768996145,4,4,38121,Via per Cortesano
11.1283746419713,46.1287570188738,4,4,38121,Via per Cortesano
11.128305103031,46.1283389931904,5,5,38121,Via per Cortesano
11.1282133049689,46.1283833940916,5,5,38121,Via per Cortesano
11.1281643752944,46.1284146591544,5,5,38121,Via per Cortesano
11.1283170087852,46.1284590614416,7,7,38121,Via per Cortesano
11.1281040111574,46.1285812028842,9,9,38121,Via per Cortesano
11.1279200125415,46.1284687554466,9,9,38121,Via per Cortesano
11.1280764067787,46.1284595609695,9,9,38121,Via per Cortesano
11.1283106601352,46.1312116445981,10,10,38121,Via del porfido
11.1282281545603,46.1312395369968,10,10,38121,Via del porfido
11.1282844517192,46.1312858620523,10,10,38121,Via del porfido
11.127718151916,46.1312083795187,11,11,38121,Via del porfido
11.1276591721682,46.1312355614779,11,11,38121,Via del porfido
11.1277240382802,46.1310723909403,11,11,38121,Via del porfido
11.127714202866,46.1310338676837,11,11,38121,Via del porfido
11.1277394480961,46.1313685416181,13,13,38121,Via del porfido
11.128835674155,46.132104582202,16,16,38121,Via del porfido
11.1289369574998,46.1320977618189,16,16,38121,Via del porfido
11.1292447133784,46.132029127975,18,18,38121,Via del porfido
11.1292593777022,46.1320720664259,18,18,38121,Via del porfido
11.127992337896,46.1314371976435,19,19,38121,Via del porfido
11.1275171106979,46.1304111047386,2,2,38121,Via del porfido
11.1274272768137,46.1303196090516,2,2,38121,Via del porfido
11.1289703385009,46.1324037397706,20,20,38121,Via del porfido
11.12899504382,46.1324553906977,20,20,38121,Via del porfido
11.1274992413371,46.1315881756339,21,21,38121,Via del porfido
11.1273469416578,46.1315946537717,21,21,38121,Via del porfido
11.1275884406719,46.1316651836686,21,21,38121,Via del porfido
11.1290583102298,46.1323878878671,22,22,38121,Via del porfido
11.1290784153153,46.1324380453817,22,22,38121,Via del porfido
11.1291394545851,46.1324305910927,24,24,38121,Via del porfido
11.1291372029996,46.1323722051282,24,24,38121,Via del porfido
11.129048793306,46.1326123021927,26,26,38121,Via del porfido
11.1282304054066,46.1317436396731,27,27,38121,Via del porfido
11.128293982858,46.1319729420387,27,27,38121,Via del porfido
11.1291322258595,46.1325965348412,28,28,38121,Via del porfido
11.1292135103556,46.1325839657345,30,30,38121,Via del porfido
11.1283373343161,46.1331346295378,31,31,38121,Via del porfido
11.1286502675926,46.133081300836,31,31,38121,Via del porfido
11.1293712962218,46.1324786804186,32,32,38121,Via del porfido
11.1285702440413,46.1333103081712,33,33,38121,Via del porfido
11.128424677036,46.1333166331403,33,33,38121,Via del porfido
11.1294845955484,46.1325927247184,34,34,38121,Via del porfido
11.128410776158,46.1336708062734,35,35,38121,Via del porfido
11.1281252235739,46.1335129407299,35,35,38121,Via del porfido
11.1280827567938,46.1335857987842,35,35,38121,Via del porfido
11.1281787792186,46.1335159660505,35,35,38121,Via del porfido
11.1280115441246,46.1336279340335,35,35,38121,Via del porfido
11.1282501492685,46.1336853056638,37,37,38121,Via del porfido
11.1283058778,46.1338386894938,37,37,38121,Via del porfido
11.1282314614891,46.133739894616,37,37,38121,Via del porfido
11.1280627878715,46.1338180289261,37,37,38121,Via del porfido
11.1305654430137,46.1365405252705,38,38,38121,Via del porfido
11.1307049676917,46.136727988196,38,38,38121,Via del porfido
11.1305185862964,46.1364355472891,38,38,38121,Via del porfido
11.1280466314525,46.1310939705565,4,4,38121,Via del porfido
11.1280686547938,46.1309787965569,4,4,38121,Via del porfido
11.1281795205216,46.1341395986458,41,41,38121,Via del porfido
11.1283075528141,46.1339348205465,41,41,38121,Via del porfido
11.1281607700822,46.1343189771685,43,43,38121,Via del porfido
11.1278649434455,46.1343946568239,43,43,38121,Via del porfido
11.1285773236206,46.1351545381851,45,45,38121,Via del porfido
11.1285608220989,46.1352680620227,45,45,38121,Via del porfido
11.1629554800714,46.1471209609739,46,46,38121,Via del porfido
11.128761195451,46.1354830192638,47,47,38121,Via del porfido
11.1288240507349,46.1353446409345,47,47,38121,Via del porfido
11.1290326088719,46.1357132126668,49,49,38121,Via del porfido
11.1273653831513,46.1313299817931,5,5,38121,Via del porfido
11.1315665136994,46.1385679559753,55,55,38121,Via del porfido
11.1314977102714,46.1387183563856,55,55,38121,Via del porfido
